Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
National,,,,,,,,
Cancer,"2,826,092 (1.86‰)",176.36 ± 0.11,"2,927,356 (1.85‰)",163.26 ± 0.10,"2,994,814 (1.83‰)",149.17 ± 0.09,"2,443,597 (1.85‰)",166.03 ± 0.11
Cancer(M),"1,471,396 (1.97‰)",214.45 ± 0.18,"1,535,980 (1.97‰)",195.69 ± 0.16,"1,575,375 (1.96‰)",176.69 ± 0.14,"1,282,839 (1.96‰)",191.55 ± 0.17
Cancer(F),"1,354,696 (1.75‰)",150.06 ± 0.13,"1,391,376 (1.73‰)",139.84 ± 0.12,"1,419,439 (1.71‰)",128.83 ± 0.11,"1,160,758 (1.75‰)",146.56 ± 0.14
Lung,"791,930 (0.52‰)",49.44 ± 0.06,"779,536 (0.49‰)",43.27 ± 0.05,"712,324 (0.44‰)",34.91 ± 0.04,"526,491 (0.40‰)",35.20 ± 0.05
Colorectal,"265,301 (0.17‰)",16.55 ± 0.03,"261,782 (0.17‰)",14.62 ± 0.03,"265,605 (0.16‰)",13.37 ± 0.03,"219,223 (0.17‰)",15.45 ± 0.03
Breast,"205,551 (0.14‰)",12.72 ± 0.03,"207,735 (0.13‰)",11.61 ± 0.03,"212,756 (0.13‰)",10.82 ± 0.02,"171,975 (0.13‰)",12.19 ± 0.03
Pancreatic,"175,239 (0.12‰)",10.91 ± 0.03,"197,087 (0.12‰)",10.92 ± 0.02,"224,264 (0.14‰)",11.05 ± 0.02,"196,924 (0.15‰)",13.28 ± 0.03
Prostate,"142,566 (0.09‰)",9.03 ± 0.02,"140,071 (0.09‰)",7.89 ± 0.02,"156,666 (0.10‰)",7.80 ± 0.02,"134,601 (0.10‰)",8.53 ± 0.02
Race,,,,,,,,
Cancer(White),"2,426,044 (2.00‰)",175.71 ± 0.11,"2,490,844 (2.00‰)",163.57 ± 0.10,"2,525,514 (1.99‰)",150.27 ± 0.10,"2,043,313 (2.08‰)",169.67 ± 0.12
Cancer(Black),"314,998 (1.54‰)",205.73 ± 0.38,"334,116 (1.53‰)",185.80 ± 0.33,"350,862 (1.52‰)",166.73 ± 0.29,"284,159 (1.55‰)",182.67 ± 0.35
Cancer(Others),"85,050 (0.85‰)",119.65 ± 0.43,"102,396 (0.88‰)",109.47 ± 0.35,"118,438 (0.90‰)",98.26 ± 0.29,"116,125 (0.76‰)",101.30 ± 0.30
RUCC (Metropolitan urbanized),,,,,,,,
Cancer,"2,294,776 (1.78‰)",174.24 ± 0.12,"2,383,931 (1.76‰)",160.50 ± 0.11,"2,446,268 (1.74‰)",145.94 ± 0.09,"1,997,032 (1.76‰)",160.90 ± 0.12
Lung,"630,764 (0.49‰)",48.04 ± 0.06,"619,837 (0.46‰)",41.66 ± 0.05,"565,258 (0.40‰)",33.28 ± 0.04,"416,784 (0.37‰)",33.01 ± 0.05
Colorectal,"213,963 (0.17‰)",16.23 ± 0.04,"211,241 (0.16‰)",14.22 ± 0.03,"215,108 (0.15‰)",12.94 ± 0.03,"177,526 (0.16‰)",14.81 ± 0.04
Breast,"171,236 (0.13‰)",12.83 ± 0.03,"173,445 (0.13‰)",11.64 ± 0.03,"178,771 (0.13‰)",10.83 ± 0.03,"143,877 (0.13‰)",12.07 ± 0.03
Pancreatic,"144,368 (0.11‰)",10.95 ± 0.03,"162,983 (0.12‰)",10.92 ± 0.03,"185,792 (0.13‰)",10.98 ± 0.03,"163,635 (0.14‰)",13.08 ± 0.03
Prostate,"115,265 (0.09‰)",8.92 ± 0.03,"114,152 (0.08‰)",7.79 ± 0.02,"128,836 (0.09‰)",7.71 ± 0.02,"110,601 (0.10‰)",8.37 ± 0.03
RUCC (Non-metropolitan urbanized),,,,,,,,
Cancer,"199,102 (2.17‰)",185.77 ± 0.42,"204,730 (2.20‰)",175.53 ± 0.39,"207,979 (2.23‰)",164.13 ± 0.37,"170,058 (2.30‰)",191.30 ± 0.49
Lung,"59,251 (0.65‰)",54.95 ± 0.23,"58,866 (0.63‰)",49.79 ± 0.21,"54,134 (0.58‰)",41.67 ± 0.18,"40,362 (0.55‰)",44.86 ± 0.24
Colorectal,"18,754 (0.20‰)",17.51 ± 0.13,"18,587 (0.20‰)",16.09 ± 0.12,"18,710 (0.20‰)",15.10 ± 0.11,"15,435 (0.21‰)",18.12 ± 0.15
Breast,"13,151 (0.14‰)",12.34 ± 0.11,"13,313 (0.14‰)",11.60 ± 0.10,"13,319 (0.14‰)",10.90 ± 0.10,"10,931 (0.15‰)",12.89 ± 0.13
Pancreatic,"11,684 (0.13‰)",10.83 ± 0.10,"12,902 (0.14‰)",10.94 ± 0.10,"14,773 (0.16‰)",11.49 ± 0.10,"12,946 (0.18‰)",14.44 ± 0.13
Prostate,"9,830 (0.11‰)",9.18 ± 0.09,"9,600 (0.10‰)",8.19 ± 0.08,"10,415 (0.11‰)",8.10 ± 0.08,"8,986 (0.12‰)",9.17 ± 0.10
RUCC (Less urbanized),,,,,,,,
Cancer,"272,631 (2.38‰)",188.71 ± 0.36,"277,817 (2.42‰)",179.59 ± 0.35,"279,595 (2.46‰)",169.03 ± 0.33,"227,557 (2.55‰)",199.10 ± 0.45
Lung,"83,270 (0.73‰)",57.09 ± 0.20,"82,259 (0.72‰)",52.31 ± 0.18,"76,046 (0.67‰)",44.77 ± 0.17,"56,783 (0.64‰)",49.20 ± 0.22
Colorectal,"26,548 (0.23‰)",18.39 ± 0.11,"26,187 (0.23‰)",17.10 ± 0.11,"25,978 (0.23‰)",16.09 ± 0.10,"21,669 (0.24‰)",19.82 ± 0.14
Breast,"17,505 (0.15‰)",12.31 ± 0.09,"17,334 (0.15‰)",11.50 ± 0.09,"17,117 (0.15‰)",10.82 ± 0.09,"14,154 (0.16‰)",13.02 ± 0.12
Pancreatic,"15,702 (0.14‰)",10.82 ± 0.09,"17,305 (0.15‰)",11.09 ± 0.09,"19,452 (0.17‰)",11.60 ± 0.08,"16,609 (0.19‰)",14.45 ± 0.12
Prostate,"14,112 (0.12‰)",9.67 ± 0.08,"13,235 (0.12‰)",8.43 ± 0.07,"14,134 (0.12‰)",8.31 ± 0.07,"12,202 (0.14‰)",9.51 ± 0.09
RUCC (Thinly populated),,,,,,,,
Cancer,"59,583 (2.50‰)",177.66 ± 0.74,"60,878 (2.58‰)",170.66 ± 0.71,"60,972 (2.61‰)",159.67 ± 0.67,"48,950 (2.73‰)",188.25 ± 0.93
