Outcome,"2006-2010 Death,n(‰)",2006-2010 AAMR,"2011-2015 Death,n(‰)",2011-2015 AAMR,"2016-2020 Death,n(‰)",2016-2020 AAMR,"2021-2024 Death,n(‰)",2021-2024 AAMR
National,,,,,,,,
NDD,"979,476 (0.64‰)",61.33 ± 0.06,"1,281,874 (0.81‰)",71.29 ± 0.06,"1,416,755 (0.87‰)",71.04 ± 0.06,"1,105,812 (0.84‰)",69.54 ± 0.07
Dementia,"841,971 (0.55‰)",52.57 ± 0.06,"1,115,644 (0.71‰)",61.77 ± 0.06,"1,206,404 (0.74‰)",60.31 ± 0.06,"912,965 (0.69‰)",57.28 ± 0.06
PD,"101,875 (0.07‰)",6.54 ± 0.02,"125,409 (0.08‰)",7.25 ± 0.02,"169,926 (0.10‰)",8.73 ± 0.02,"158,411 (0.12‰)",9.82 ± 0.02
ALS,"31,212 (0.02‰)",1.95 ± 0.01,"35,746 (0.02‰)",1.99 ± 0.01,"34,772 (0.02‰)",1.71 ± 0.01,"29,774 (0.02‰)",2.07 ± 0.01
HD,"4,418 (0.00‰)",0.27 ± 0.00,"5,075 (0.00‰)",0.29 ± 0.00,"5,653 (0.00‰)",0.30 ± 0.00,"4,662 (0.00‰)",0.36 ± 0.01
Sex,,,,,,,,
Male,,,,,,,,
NDD,"337,797 (0.45‰)",57.00 ± 0.10,"450,432 (0.58‰)",65.61 ± 0.10,"515,074 (0.64‰)",64.99 ± 0.09,,
Female,,,,,,,,
NDD,"641,679 (0.83‰)",62.55 ± 0.08,"831,442 (1.04‰)",73.41 ± 0.08,"901,681 (1.09‰)",73.62 ± 0.08,,
Race,,,,,,,,
NDD (White),"892,941 (0.74‰)",62.76 ± 0.07,"1,157,186 (0.93‰)",73.30 ± 0.07,"1,263,466 (0.99‰)",73.52 ± 0.07,,
NDD (Black),"65,532 (0.32‰)",53.99 ± 0.21,"92,092 (0.42‰)",63.94 ± 0.21,"108,801 (0.47‰)",63.42 ± 0.19,,
NDD (Asian),"12,032 (0.15‰)",26.93 ± 0.25,"20,897 (0.22‰)",32.08 ± 0.22,"31,143 (0.29‰)",33.89 ± 0.19,,
NDD (Indian),"1,790 (0.09‰)",25.18 ± 0.61,675 (0.03‰),6.52 ± 0.25,"3,616 (0.15‰)",27.50 ± 0.46,,
RUCC (Metropolitan urbanized),,,,,,,,
NDD,"801,592 (0.62‰)",61.30 ± 0.07,"1,055,233 (0.78‰)",70.98 ± 0.07,"1,163,285 (0.83‰)",70.08 ± 0.07,"905,388 (0.80‰)",68.02 ± 0.07
Dementia,"688,435 (0.53‰)",52.51 ± 0.06,"917,361 (0.68‰)",61.41 ± 0.06,"988,293 (0.70‰)",59.34 ± 0.06,"744,740 (0.65‰)",55.84 ± 0.06
PD,"84,097 (0.07‰)",6.60 ± 0.02,"104,474 (0.08‰)",7.33 ± 0.02,"141,499 (0.10‰)",8.75 ± 0.02,"132,003 (0.12‰)",9.79 ± 0.03
ALS,"25,530 (0.02‰)",1.94 ± 0.01,"29,387 (0.02‰)",1.97 ± 0.01,"28,950 (0.02‰)",1.71 ± 0.01,"24,882 (0.02‰)",2.05 ± 0.01
HD,"3,530 (0.00‰)",0.26 ± 0.00,"4,011 (0.00‰)",0.27 ± 0.00,"4,543 (0.00‰)",0.28 ± 0.00,"3,763 (0.00‰)",0.34 ± 0.01
RUCC (Non-metropolitan urbanized),,,,,,,,
NDD,"70,073 (0.76‰)",64.69 ± 0.24,"89,084 (0.96‰)",75.57 ± 0.25,"99,484 (1.07‰)",78.35 ± 0.25,"78,664 (1.07‰)",79.99 ± 0.29
Dementia,"60,242 (0.66‰)",55.43 ± 0.23,"77,836 (0.84‰)",65.75 ± 0.24,"85,409 (0.92‰)",67.07 ± 0.23,"65,788 (0.89‰)",66.72 ± 0.26
PD,"7,259 (0.08‰)",6.85 ± 0.08,"8,363 (0.09‰)",7.29 ± 0.08,"11,239 (0.12‰)",8.97 ± 0.09,"10,505 (0.14‰)",10.44 ± 0.10
ALS,"2,230 (0.02‰)",2.09 ± 0.04,"2,479 (0.03‰)",2.14 ± 0.04,"2,387 (0.03‰)",1.90 ± 0.04,"2,025 (0.03‰)",2.35 ± 0.06
HD,342 (0.00‰),0.33 ± 0.02,406 (0.00‰),0.38 ± 0.02,449 (0.00‰),0.40 ± 0.02,346 (0.00‰),0.48 ± 0.03
RUCC (Less urbanized),,,,,,,,
NDD,"89,130 (0.78‰)",60.66 ± 0.20,"113,890 (0.99‰)",72.49 ± 0.22,"127,519 (1.12‰)",75.85 ± 0.21,"100,174 (1.12‰)",76.91 ± 0.25
Dementia,"77,191 (0.67‰)",52.36 ± 0.19,"99,791 (0.87‰)",63.30 ± 0.20,"109,866 (0.97‰)",65.17 ± 0.20,"84,156 (0.94‰)",64.31 ± 0.22
PD,"8,640 (0.08‰)",5.98 ± 0.06,"10,387 (0.09‰)",6.75 ± 0.07,"14,306 (0.13‰)",8.59 ± 0.07,"13,192 (0.15‰)",9.93 ± 0.09
ALS,"2,843 (0.02‰)",1.98 ± 0.04,"3,173 (0.03‰)",2.06 ± 0.04,"2,791 (0.02‰)",1.69 ± 0.03,"2,366 (0.03‰)",2.15 ± 0.05
HD,456 (0.00‰),0.34 ± 0.02,539 (0.00‰),0.39 ± 0.02,556 (0.00‰),0.40 ± 0.02,460 (0.01‰),0.51 ± 0.03
RUCC (Thinly populated),,,,,,,,
NDD,"18,681 (0.79‰)",54.60 ± 0.40,"23,667 (1.00‰)",65.00 ± 0.42,"26,467 (1.13‰)",67.41 ± 0.42,"21,586 (1.20‰)",71.10 ± 0.49
Dementia,"16,103 (0.68‰)",46.88 ± 0.37,"20,656 (0.88‰)",56.54 ± 0.39,"22,836 (0.98‰)",57.95 ± 0.38,"18,281 (1.02‰)",59.80 ± 0.45
PD,"1,879 (0.08‰)",5.58 ± 0.13,"2,185 (0.09‰)",6.09 ± 0.13,"2,882 (0.12‰)",7.41 ± 0.14,"2,711 (0.15‰)",8.81 ± 0.17
