Model,ICD_Code,Outcome,EQI_Period,Lag,Q1,Q2,Q3,Q4,Q5
EQI,C00_C97,All-site Cancer,2000_2005,5,0.0,"4.66(2.24,7.11)***","4.91(2.62,7.21)***","6.51(4.26,8.59)***","12.12(9.80,14.58)***"
EQI,C00_C97,All-site Cancer,2000_2005,10,0.0,"6.02(3.78,8.15)***","6.20(4.07,8.36)***","7.80(5.55,10.02)***","10.74(8.30,13.10)***"
EQI,C34,Lung Cancer,2000_2005,5,0.0,"3.92(2.61,5.23)***","3.33(2.02,4.62)***","3.96(2.65,5.28)***","5.73(4.31,7.17)***"
EQI,C34,Lung Cancer,2000_2005,10,0.0,"4.09(2.85,5.30)***","3.03(1.85,4.25)***","3.62(2.44,4.82)***","3.84(2.49,5.12)***"
EQI,C18_C21,Colorectal Cancer,2000_2005,5,0.0,"1.42(0.71,2.12)***","1.89(1.20,2.57)***","1.76(1.05,2.48)***","1.29(0.55,2.03)***"
EQI,C18_C21,Colorectal Cancer,2000_2005,10,0.0,"0.60(-0.06,1.27)","0.39(-0.27,1.02)","0.32(-0.33,0.96)","0.03(-0.63,0.73)"
EQI,C50,Breast Cancer,2000_2005,5,0.0,"1.51(0.93,2.12)***","1.84(1.24,2.40)***","2.18(1.56,2.78)***","2.73(2.10,3.38)***"
EQI,C50,Breast Cancer,2000_2005,10,0.0,"0.92(0.32,1.50)**","0.95(0.40,1.51)**","1.06(0.50,1.61)***","1.46(0.88,2.02)***"
EQI,C25,Pancreatic Cancer,2000_2005,5,0.0,"0.64(0.08,1.19)*","0.79(0.24,1.32)**","1.06(0.51,1.61)***","1.31(0.71,1.89)***"
EQI,C25,Pancreatic Cancer,2000_2005,10,0.0,"0.40(-0.15,0.95)","0.59(0.04,1.13)*","0.67(0.14,1.19)*","0.78(0.22,1.34)**"
EQI,C61,Prostate Cancer,2000_2005,5,0.0,"0.19(-0.34,0.73)","0.35(-0.20,0.87)","-0.01(-0.54,0.50)","-0.35(-0.92,0.21)"
EQI,C61,Prostate Cancer,2000_2005,10,0.0,"0.71(0.20,1.20)**","0.21(-0.29,0.68)","-0.05(-0.53,0.43)","-0.28(-0.79,0.24)"
EQI,C00_C97,All-site Cancer,2006_2010,5,0.0,"4.53(2.27,6.77)***","5.25(2.79,7.63)***","5.16(2.61,7.77)***","5.42(2.78,8.03)***"
EQI,C00_C97,All-site Cancer,2006_2010,10,0.0,"4.98(2.73,6.96)***","3.53(1.21,5.76)**","2.88(0.53,5.13)*","3.76(1.22,5.97)**"
EQI,C34,Lung Cancer,2006_2010,5,0.0,"1.66(0.40,2.95)*","1.11(-0.22,2.48)","1.47(0.04,2.89)*","1.40(-0.10,2.89)"
EQI,C34,Lung Cancer,2006_2010,10,0.0,"2.10(1.04,3.18)***","1.83(0.73,2.95)**","2.08(0.90,3.26)***","2.25(1.05,3.50)***"
EQI,C18_C21,Colorectal Cancer,2006_2010,5,0.0,"-0.02(-0.71,0.68)","-0.06(-0.78,0.64)","-0.41(-1.13,0.31)","-0.34(-1.08,0.40)"
EQI,C18_C21,Colorectal Cancer,2006_2010,10,0.0,"-0.64(-1.29,0.02)","-0.65(-1.31,0.02)","-0.93(-1.62,-0.26)**","-1.07(-1.80,-0.39)**"
EQI,C50,Breast Cancer,2006_2010,5,0.0,"0.38(-0.22,0.97)","0.64(0.03,1.22)*","0.52(-0.12,1.11)","0.21(-0.42,0.83)"
EQI,C50,Breast Cancer,2006_2010,10,0.0,"-0.09(-0.69,0.50)","0.10(-0.51,0.69)","0.00(-0.62,0.62)","-0.04(-0.67,0.59)"
EQI,C25,Pancreatic Cancer,2006_2010,5,0.0,"-0.12(-0.70,0.44)","0.34(-0.25,0.93)","0.02(-0.55,0.60)","0.33(-0.27,0.92)"
EQI,C25,Pancreatic Cancer,2006_2010,10,0.0,"0.18(-0.39,0.76)","0.05(-0.57,0.65)","0.02(-0.60,0.65)","0.10(-0.52,0.74)"
EQI,C61,Prostate Cancer,2006_2010,5,0.0,"0.15(-0.37,0.63)","-0.24(-0.75,0.27)","-0.54(-1.06,-0.02)*","-0.69(-1.22,-0.16)*"
EQI,C61,Prostate Cancer,2006_2010,10,0.0,"-0.38(-0.89,0.11)","-0.97(-1.49,-0.47)***","-1.09(-1.61,-0.57)***","-1.30(-1.83,-0.76)***"
EQI_Air,C00_C97,All-site Cancer,2000_2005,5,0.0,"5.07(2.71,7.24)***","7.47(5.10,9.86)***","9.67(7.12,12.13)***","13.14(10.66,15.69)***"
EQI_Air,C00_C97,All-site Cancer,2000_2005,10,0.0,"6.52(4.05,8.86)***","9.21(6.73,11.52)***","10.52(8.10,12.92)***","12.05(9.48,14.54)***"
EQI_Air,C34,Lung Cancer,2000_2005,5,0.0,"3.52(2.09,4.96)***","5.19(3.74,6.65)***","6.44(4.93,7.96)***","7.77(6.14,9.42)***"
EQI_Air,C34,Lung Cancer,2000_2005,10,0.0,"4.93(3.59,6.31)***","6.27(4.91,7.61)***","6.49(5.08,7.90)***","6.29(4.73,7.82)***"
EQI_Air,C18_C21,Colorectal Cancer,2000_2005,5,0.0,"2.08(1.33,2.84)***","2.39(1.60,3.15)***","2.47(1.66,3.24)***","2.33(1.46,3.15)***"
EQI_Air,C18_C21,Colorectal Cancer,2000_2005,10,0.0,"0.79(-0.01,1.55)","1.08(0.30,1.84)**","0.87(0.08,1.65)*","0.58(-0.28,1.38)"
EQI_Air,C50,Breast Cancer,2000_2005,5,0.0,"1.30(0.59,1.99)***","1.82(1.12,2.51)***","2.12(1.38,2.81)***","2.62(1.86,3.36)***"
EQI_Air,C50,Breast Cancer,2000_2005,10,0.0,"-0.17(-0.82,0.49)","0.62(-0.05,1.25)","0.69(0.02,1.34)*","1.11(0.43,1.79)**"
EQI_Air,C25,Pancreatic Cancer,2000_2005,5,0.0,"1.03(0.39,1.67)**","1.06(0.42,1.67)**","1.03(0.35,1.66)**","1.27(0.58,1.96)**"
EQI_Air,C25,Pancreatic Cancer,2000_2005,10,0.0,"0.54(-0.10,1.21)","0.96(0.34,1.62)**","0.93(0.33,1.56)**","1.24(0.61,1.88)***"
EQI_Air,C61,Prostate Cancer,2000_2005,5,0.0,"0.22(-0.43,0.85)","-0.11(-0.76,0.51)","-0.04(-0.68,0.59)","-0.24(-0.94,0.44)"
EQI_Air,C61,Prostate Cancer,2000_2005,10,0.0,"0.00(-0.57,0.58)","-0.38(-0.92,0.19)","-0.30(-0.86,0.25)","-0.74(-1.33,-0.15)*"
EQI_Air,C00_C97,All-site Cancer,2006_2010,5,0.0,"4.72(2.43,6.90)***","4.54(2.16,6.82)***","6.77(4.28,9.04)***","6.17(3.70,8.54)***"
EQI_Air,C00_C97,All-site Cancer,2006_2010,10,0.0,"2.47(0.59,4.36)**","2.43(0.41,4.46)*","3.03(0.87,5.25)**","3.99(1.92,6.35)***"
EQI_Air,C34,Lung Cancer,2006_2010,5,0.0,"0.88(-0.31,2.08)","0.77(-0.55,2.05)","1.57(0.22,2.91)*","1.40(0.01,2.81)*"
EQI_Air,C34,Lung Cancer,2006_2010,10,0.0,"0.58(-0.51,1.59)","0.20(-0.95,1.31)","0.50(-0.64,1.64)","0.61(-0.62,1.85)"
EQI_Air,C18_C21,Colorectal Cancer,2006_2010,5,0.0,"0.16(-0.48,0.80)","0.11(-0.54,0.76)","0.46(-0.23,1.15)","0.60(-0.11,1.30)"
EQI_Air,C18_C21,Colorectal Cancer,2006_2010,10,0.0,"-0.68(-1.31,-0.05)*","-0.61(-1.26,0.03)","-0.28(-0.93,0.37)","-0.24(-0.91,0.42)"
EQI_Air,C50,Breast Cancer,2006_2010,5,0.0,"0.46(-0.09,1.01)","0.58(0.01,1.13)*","1.03(0.47,1.58)***","0.77(0.20,1.34)*"
EQI_Air,C50,Breast Cancer,2006_2010,10,0.0,"-0.22(-0.76,0.33)","0.04(-0.53,0.62)","0.23(-0.38,0.84)","0.13(-0.49,0.73)"
EQI_Air,C25,Pancreatic Cancer,2006_2010,5,0.0,"0.34(-0.17,0.87)","0.71(0.20,1.26)**","0.88(0.35,1.42)***","0.93(0.39,1.46)**"
EQI_Air,C25,Pancreatic Cancer,2006_2010,10,0.0,"0.62(0.08,1.16)*","0.74(0.18,1.30)*","0.87(0.30,1.45)**","0.76(0.19,1.33)**"
EQI_Air,C61,Prostate Cancer,2006_2010,5,0.0,"0.46(-0.05,0.96)","0.09(-0.42,0.60)","0.22(-0.30,0.74)","0.11(-0.42,0.63)"
EQI_Air,C61,Prostate Cancer,2006_2010,10,0.0,"0.25(-0.23,0.74)","0.14(-0.35,0.67)","0.22(-0.29,0.74)","0.05(-0.49,0.58)"
EQI_Water,C00_C97,All-site Cancer,2000_2005,5,0.0,"3.38(0.50,6.22)*","2.33(-0.64,5.33)","2.54(-0.26,5.45)","2.66(-0.30,5.62)"
EQI_Water,C00_C97,All-site Cancer,2000_2005,10,0.0,"1.12(-1.75,3.87)","-0.96(-3.90,1.73)","1.17(-1.93,3.91)","1.59(-1.32,4.54)"
EQI_Water,C34,Lung Cancer,2000_2005,5,0.0,"0.03(-1.75,1.79)","0.82(-0.93,2.64)","0.48(-1.32,2.29)","0.36(-1.48,2.29)"
EQI_Water,C34,Lung Cancer,2000_2005,10,0.0,"-0.19(-1.84,1.48)","0.17(-1.47,1.89)","-0.22(-1.85,1.40)","-0.61(-2.38,1.15)"
EQI_Water,C18_C21,Colorectal Cancer,2000_2005,5,0.0,"-0.84(-1.65,-0.04)*","-0.32(-1.19,0.53)","-0.55(-1.39,0.25)","-0.77(-1.64,0.08)"
EQI_Water,C18_C21,Colorectal Cancer,2000_2005,10,0.0,"-0.23(-1.00,0.57)","-0.59(-1.37,0.19)","-0.41(-1.16,0.38)","-0.67(-1.46,0.13)"
EQI_Water,C50,Breast Cancer,2000_2005,5,0.0,"0.17(-0.49,0.85)","0.35(-0.30,1.05)","0.20(-0.47,0.89)","-0.09(-0.76,0.62)"
EQI_Water,C50,Breast Cancer,2000_2005,10,0.0,"-0.22(-0.84,0.41)","-0.58(-1.24,0.06)","-0.24(-0.84,0.41)","-0.40(-1.03,0.26)"
EQI_Water,C25,Pancreatic Cancer,2000_2005,5,0.0,"-0.35(-1.00,0.31)","-0.92(-1.59,-0.28)**","-0.64(-1.29,0.00)","-0.86(-1.54,-0.21)*"
EQI_Water,C25,Pancreatic Cancer,2000_2005,10,0.0,"-0.43(-1.03,0.16)","-0.59(-1.17,0.02)","-0.41(-0.99,0.19)","-0.47(-1.03,0.14)"
EQI_Water,C61,Prostate Cancer,2000_2005,5,0.0,"-0.18(-0.86,0.47)","-0.04(-0.73,0.63)","0.24(-0.43,0.91)","0.10(-0.60,0.77)"
EQI_Water,C61,Prostate Cancer,2000_2005,10,0.0,"-0.50(-1.06,0.06)","-0.45(-1.02,0.13)","-0.17(-0.72,0.38)","-0.19(-0.77,0.38)"
EQI_Water,C00_C97,All-site Cancer,2006_2010,5,0.0,"-0.24(-2.69,2.41)","-1.34(-3.83,1.19)","0.19(-2.25,2.62)","1.28(-1.23,3.97)"
EQI_Water,C00_C97,All-site Cancer,2006_2010,10,0.0,"0.46(-1.89,2.69)","-0.30(-2.65,1.79)","-0.46(-2.85,1.85)","0.64(-1.84,3.09)"
EQI_Water,C34,Lung Cancer,2006_2010,5,0.0,"-1.67(-3.05,-0.26)*","-0.89(-2.34,0.57)","-0.93(-2.41,0.51)","-1.32(-2.92,0.24)"
EQI_Water,C34,Lung Cancer,2006_2010,10,0.0,"-0.96(-2.17,0.19)","-0.00(-1.23,1.25)","-0.30(-1.54,0.96)","0.61(-0.72,1.99)"
EQI_Water,C18_C21,Colorectal Cancer,2006_2010,5,0.0,"-0.70(-1.40,0.01)","-0.90(-1.62,-0.21)*","-0.68(-1.40,-0.01)*","-0.22(-0.91,0.51)"
EQI_Water,C18_C21,Colorectal Cancer,2006_2010,10,0.0,"-0.68(-1.36,-0.00)*","-0.29(-0.97,0.37)","-0.56(-1.23,0.09)","-0.59(-1.24,0.09)"
EQI_Water,C50,Breast Cancer,2006_2010,5,0.0,"-0.53(-1.14,0.05)","-0.63(-1.23,-0.04)*","-0.18(-0.76,0.42)","-0.48(-1.07,0.11)"
EQI_Water,C50,Breast Cancer,2006_2010,10,0.0,"-0.34(-0.97,0.27)","-0.47(-1.10,0.15)","-0.34(-0.94,0.28)","-0.65(-1.29,-0.02)*"
EQI_Water,C25,Pancreatic Cancer,2006_2010,5,0.0,"-0.53(-1.07,-0.00)*","-0.60(-1.13,-0.11)*","-0.41(-0.93,0.13)","-0.37(-0.89,0.15)"
EQI_Water,C25,Pancreatic Cancer,2006_2010,10,0.0,"-0.26(-0.86,0.34)","-0.12(-0.69,0.48)","-0.33(-0.92,0.28)","-0.12(-0.71,0.50)"
EQI_Water,C61,Prostate Cancer,2006_2010,5,0.0,"-0.47(-1.00,0.05)","-0.54(-1.09,-0.01)*","-0.27(-0.80,0.24)","-0.05(-0.58,0.47)"
EQI_Water,C61,Prostate Cancer,2006_2010,10,0.0,"0.08(-0.45,0.62)","0.06(-0.49,0.61)","0.21(-0.32,0.76)","-0.29(-0.86,0.27)"
EQI_Land,C00_C97,All-site Cancer,2000_2005,5,0.0,"0.51(-1.49,2.58)","1.89(0.05,4.05)","1.08(-1.12,3.44)","1.62(-0.64,4.30)"
EQI_Land,C00_C97,All-site Cancer,2000_2005,10,0.0,"0.83(-1.31,3.11)","0.72(-1.31,3.01)","1.80(-0.64,4.36)","1.63(-1.06,4.30)"
EQI_Land,C34,Lung Cancer,2000_2005,5,0.0,"-1.35(-2.50,-0.22)*","-1.07(-2.34,0.20)","-1.95(-3.33,-0.53)**","-2.37(-3.85,-0.78)**"
EQI_Land,C34,Lung Cancer,2000_2005,10,0.0,"-0.93(-2.01,0.15)","-1.10(-2.25,0.13)","-0.97(-2.28,0.41)","-1.33(-2.74,0.12)"
EQI_Land,C18_C21,Colorectal Cancer,2000_2005,5,0.0,"1.15(0.52,1.80)***","0.88(0.22,1.56)*","1.36(0.64,2.12)***","1.73(0.97,2.50)***"
EQI_Land,C18_C21,Colorectal Cancer,2000_2005,10,0.0,"0.62(0.04,1.20)*","0.47(-0.17,1.11)","0.74(0.06,1.41)*","1.25(0.55,1.97)***"
EQI_Land,C50,Breast Cancer,2000_2005,5,0.0,"0.35(-0.22,0.89)","0.44(-0.15,0.99)","0.56(-0.05,1.18)","0.65(0.00,1.30)*"
EQI_Land,C50,Breast Cancer,2000_2005,10,0.0,"0.31(-0.22,0.84)","-0.09(-0.66,0.46)","0.22(-0.37,0.83)","0.31(-0.29,0.94)"
EQI_Land,C25,Pancreatic Cancer,2000_2005,5,0.0,"0.13(-0.39,0.65)","0.59(0.03,1.16)*","0.41(-0.20,1.03)","0.08(-0.58,0.73)"
EQI_Land,C25,Pancreatic Cancer,2000_2005,10,0.0,"0.40(-0.11,0.91)","0.43(-0.09,0.95)","0.41(-0.13,0.98)","0.77(0.21,1.35)**"
EQI_Land,C61,Prostate Cancer,2000_2005,5,0.0,"0.06(-0.44,0.56)","0.07(-0.46,0.61)","0.21(-0.40,0.81)","0.18(-0.44,0.82)"
EQI_Land,C61,Prostate Cancer,2000_2005,10,0.0,"0.04(-0.44,0.52)","-0.21(-0.72,0.28)","0.31(-0.23,0.84)","0.48(-0.07,1.03)"
EQI_Land,C00_C97,All-site Cancer,2006_2010,5,0.0,"3.40(1.34,5.47)***","4.51(2.52,6.64)***","4.15(1.95,6.23)***","4.66(2.30,6.90)***"
EQI_Land,C00_C97,All-site Cancer,2006_2010,10,0.0,"2.55(0.68,4.44)**","4.86(2.95,6.75)***","4.93(3.06,6.88)***","6.89(4.80,8.69)***"
EQI_Land,C34,Lung Cancer,2006_2010,5,0.0,"1.72(0.66,2.77)***","1.80(0.70,2.92)**","1.87(0.75,3.03)**","1.17(-0.01,2.38)"
EQI_Land,C34,Lung Cancer,2006_2010,10,0.0,"0.92(0.04,1.79)*","1.63(0.71,2.54)***","1.37(0.41,2.35)**","1.52(0.54,2.53)**"
EQI_Land,C18_C21,Colorectal Cancer,2006_2010,5,0.0,"0.37(-0.17,0.92)","0.40(-0.17,0.95)","0.78(0.19,1.37)**","1.17(0.56,1.78)***"
EQI_Land,C18_C21,Colorectal Cancer,2006_2010,10,0.0,"0.28(-0.30,0.82)","0.51(-0.08,1.08)","0.32(-0.30,0.92)","0.88(0.27,1.49)**"
