ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G12.2,2000_2005,2006_2010,5,Q2,1.901,1.5969,2.2768,90.104,0.0002
G12.2,2000_2005,2006_2010,5,Q3,2.7418,2.2857,3.3246000000000002,174.1785,0.0002
G12.2,2000_2005,2006_2010,5,Q4,3.7658,3.1168,4.6172,276.576,0.0002
G12.2,2000_2005,2006_2010,5,Q5,4.5171,3.7243,5.5312,351.7101,0.0002
"G12.2","2000_2005","2011_2015",10,"Q2",1.9587,1.6955,2.2963,95.8734,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Q3",2.8462,2.4369,3.3822,184.6169,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Q4",3.3634,2.8492,4.0285,236.3376,"0.0002"
"G12.2","2000_2005","2011_2015",10,"Q5",4.0139,3.3837,4.8414,301.3906,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Q2",1.9411,1.6597,2.2929,94.1081,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Q3",2.8033,2.3709,3.3727,180.3315,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Q4",3.4246,2.8801,4.1537,242.4638,"0.0002"
"G12.2","2000_2005","2016_2020",15,"Q5",4.1551,3.4633,5.0759,315.5052,"0.0002"
