ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q2,1.21,1.161,1.263,20.9996,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q3,1.3181,1.265,1.3773,31.8065,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q4,1.4253,1.3662,1.4898,42.5317,0.0002
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Q5,1.5586,1.4903,1.6333,55.8615,0.0002
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q2",1.1941,1.1501,1.2409,19.4128,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q3",1.2728,1.2272,1.3228,27.2848,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q4",1.3721,1.321,1.4274,37.2083,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Q5",1.5086,1.4492,1.5741,50.8596,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q2",1.1507,1.1108,1.1908,15.0728,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q3",1.2007,1.1598,1.2445,20.0737,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q4",1.2862,1.2422,1.3337,28.617,"0.0002"
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Q5",1.3965,1.3438,1.4531,39.6548,"0.0002"
