ICD_Code,Disease,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,MRD_mean,MRD_lower,MRD_upper
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q2,1.21,1.16,1.26,9.28,7.33,11.2
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q3,1.32,1.27,1.37,14.09,12.15,16.0
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q4,1.42,1.37,1.49,18.82,16.76,20.86
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2006_2010,5,Q5,1.56,1.49,1.63,24.73,22.52,26.93
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q2,1.41,1.3,1.52,10.16,8.05,12.26
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q3,1.5,1.39,1.61,14.29,12.13,16.27
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q4,1.62,1.5,1.74,19.45,17.42,21.59
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2011_2015,10,Q5,1.78,1.66,1.91,26.6,24.26,28.96
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q2,1.48,1.37,1.59,8.62,6.45,10.8
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q3,1.54,1.44,1.66,11.45,9.34,13.59
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q4,1.66,1.54,1.77,16.38,14.17,18.66
G20_G30_G12.2_F01_F03,Neurodegenerative Disease (NDD),2000_2005,2016_2020,15,Q5,1.8,1.68,1.93,22.69,20.37,25.1
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q2,1.21,1.15,1.26,7.95,6.17,9.81
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q3,1.31,1.25,1.37,11.87,10.02,13.75
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q4,1.41,1.35,1.48,15.82,13.9,17.73
G30_F01_F03,Dementia,2000_2005,2006_2010,5,Q5,1.54,1.47,1.62,20.96,18.88,23.02
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q2,1.43,1.32,1.55,8.73,6.83,10.57
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q3,1.51,1.4,1.64,12.06,10.11,14.0
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q4,1.63,1.51,1.76,16.58,14.59,18.62
G30_F01_F03,Dementia,2000_2005,2011_2015,10,Q5,1.79,1.67,1.93,22.85,20.61,25.03
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q2,1.48,1.37,1.61,7.3,5.4,9.26
G30_F01_F03,Dementia,2000_2005,2016_2020,15,Q3,1.53,1.42,1.66,9.25,7.31,11.31
