Model	Lag	Q1	Q2	Q3	Q4	Q5
Sex(Male)
EQI	5	0.0	4.57(0.43,8.74)*	8.35(4.52,12.11)***	13.39(9.79,16.95)***	17.84(14.28,21.38)***
EQI	10	0.0	2.88(-1.23,7.13)	10.28(6.51,13.99)***	14.03(10.45,17.56)***	18.80(15.25,22.28)***
EQI	15	0.0	0.50(-3.32,4.47)	5.55(2.05,9.08)**	10.66(7.31,13.99)***	14.21(10.78,17.49)***
Air	5	0.0	1.89(-3.25,7.16)	6.25(1.57,10.91)**	9.01(4.46,13.62)***	10.75(6.18,15.28)***
Air	10	0.0	4.33(-0.91,9.52)	6.14(1.67,10.59)**	9.05(4.76,13.41)***	11.10(6.66,15.44)***
Air	15	0.0	1.32(-3.62,6.21)	4.88(0.29,9.23)*	7.20(2.70,11.66)**	8.17(3.59,12.46)**
Water	5	0.0	3.17(-0.53,6.68)	3.76(0.46,6.96)*	2.63(-0.65,5.93)	3.01(-0.50,6.40)
Water	10	0.0	-0.09(-3.81,3.67)	1.50(-2.07,4.92)	2.20(-1.23,5.58)	0.81(-2.74,4.35)
Water	15	0.0	3.13(-0.37,6.49)	2.10(-1.22,5.44)	3.11(-0.33,6.43)	2.15(-1.26,5.63)
Land	5	0.0	2.14(-0.70,4.96)	2.09(-0.82,4.94)	0.22(-2.98,3.42)	1.49(-1.87,4.86)
Land	10	0.0	2.88(0.05,5.68)*	4.48(1.57,7.45)**	2.51(-0.75,5.80)	3.29(-0.08,6.53)
Land	15	0.0	2.36(-0.28,5.14)	4.07(1.35,6.79)**	2.66(-0.44,5.69)	3.90(0.72,6.96)*
Built	5	0.0	3.95(0.89,7.02)*	5.01(1.81,8.20)**	5.89(2.72,9.09)***	7.17(4.07,10.35)***
Built	10	0.0	5.40(2.24,8.61)**	5.66(2.45,8.81)**	6.82(3.68,9.91)***	8.02(4.89,11.08)***
Built	15	0.0	5.08(2.07,7.97)**	4.45(1.37,7.46)**	6.27(3.24,9.26)***	7.93(4.88,10.90)***
Social	5	0.0	5.57(1.70,9.37)**	6.24(2.79,9.64)***	7.46(4.08,10.77)***	11.60(8.29,14.85)***
